Role,Companies,Location,Experience,Skills
Hiring Business Analyst - Bangalore,Udaan,Bengaluru,2-7 Yrs,"Data Science
Business Analytics
Data Analysis
data scientist
analyst
Data Analytics
Analytics
Business Analysis"
Data Scientist,Sociolla,Delhi NCR,5-10 Yrs,"NoSQL
Artificial Intelligence
Python
Anomaly Detection
Data Science
Scipy
R
Machine Learning"
Data Scientist – Document Extraction,ARIMON DIGILYTICS PRIVATE LIMITED,Gurgaon,2-5 Yrs,"Data Science
R
Rest
Databases
NLP
regression
BERT
Data Modeling"
Data Scientist,Infolona Consumer Solutions (P) Ltd,Gurgaon,2-7 Yrs,"Text mining
data science
SAAS
Machine learning
Data collection
Information retrieval
Business modeling
Analytics"
Looking For Data Scientist - Optimization Consultant,INDORAMA VENTURES GLOBAL SHARED SERVICES PVT LTD,Kolkata,3-8 Yrs,"IT Skills
Python
Data Science
databases
optimization consultant
data science
data mining
data scientist"
Senior Data Analyst - IT (Pune),Krazy Mantra HR Solutions Pvt. Ltd,Pune,4-8 Yrs,"ETL
AWS
IT Skills
Python
Data Science
Cloud
AWS
python"
Data Scientist/Junior Data Scientist - AI HealthGlobal Startup,Benovymed Healthcare,Gurgaon Gurugram,1-5 Yrs,"Tensorflow
Data Science
Predictive Modeling
NLP
Artificial Intelligence
Data Scientist
Data Architect
Machine Learning"
Data Scientist,JAVAJI TALENTS PRIVATE LIMITED,Chennai,3-8 Yrs,"IT Skills
Python
Data Science
Data Science"
Data Scientist,Beinex Solutions LLC.,Kochi,3-6 Yrs,"Machine Learning
Deep Learning
Python
IT Skills
Python
Data Science
Machine Learning
Tensorflow"
Senior Data Scientist,"Fetch Rewards, Inc.",Remote,5-10 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
AWS
Tableau
Computer science"
Senior Data Scientist,Dream11 Inc,Mumbai,3-4 Yrs,"Data analysis
Backend
customer analytics
data science
Business analytics
Demand forecasting
Machine learning
data visualization"
Data Scientist - Business Analytics,Alamy Images India Pvt Ltd,Remote,1-6 Yrs,"IT Skills
Python
Data Science
Big Data
Prototype
data science
Business analytics
Analytical"
Urgent opening For Data Scientists,Sitel India Pvt Ltd,"Mumbai, Hyderabad",8-11 Yrs,"Pytorch
Data Science
Supervised Learning
NLP
Natural Language Processing
Keras
Machine Learning
Deep Learning"
Data Scientist,Aptus Health,Mumbai,1-3 Yrs,"Data Science
Java
Exploratory Data Analysis
Octave
Machine Learning
Deep Learning
SQL"
Data Scientist,INDORAMA VENTURES,"Mumbai, Kolkata",5-10 Yrs,"Data Science
R Shiny
Python
Predictive Modeling
Advanced Analytics
Data Visualization
Tableau
Data Analytics"
Data Engineer - BDM Informatica,TransOrg Analytics,Gurgaon Gurugram,2-4 Yrs,"data mining
Python
Data Science
Data Scientist
R
SQL
Machine learning
Predictive Modeling"
Data Analyst,Mindworks Global Media Services,Delhi,1-5 Yrs,"Training
data science
Machine learning
HTML
Natural language processing
Data Analyst
Internship
SQL"
Data Architect-BI,IBS Software Services Pvt.Ltd,Kochi,8-14 Yrs,"Data analysis
Data migration
Data management
data science
Data modeling
Corporate
Cloud
Data Architect"
Senior Data Scientist (Remote / Work from Home),WalletHub,"Delhi NCR, Bengaluru, Hyderabad",10-20 Yrs,"Data Science
Machine Learning
Python
Predictive Modeling
Artificial Intelligence"
Data Scientist - Analytics/machine Learning,Recrumart,Bengaluru,5-8 Yrs,"IT Skills
Machine Learning
Product Management
Azure
Data Science
Predictive Modeling
R
Azure"
Senior Data Scientist - Internet/Online,e-Hireo Global Pvt Ltd,Bengaluru,7-12 Yrs,"Data Science
SAS
Data Scientist
Data Management
Big Data
Data Warehousing
Data Modeling
Statistics"
Data Scientist - Internet/Online,e-Hireo Global Pvt Ltd,Bengaluru,2-5 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Analytics"
Data Scientist - Analytics Product,Hexaconcepts,Bengaluru,4-8 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Statistical Modeling
Data Analytics
Machine Learning
Statistics"
Data Scientist - KPO,Antrors HR Solutions,Bengaluru,2-5 Yrs,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling"
Data Scientist - R/Python,Valuable Consulting,Bengaluru,6-11 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Big Data
Data Modelling
SQL"
Lead Data Scientist,Catalyst,Bengaluru,2-7 Yrs,"IT Skills
Testing
Machine Learning
Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science"
Lead Data Scientist,TNP CONSULTANCY PRIVATE LIMITED ,Bengaluru,3-5 Yrs,"IT Skills
Python
Testing
Data Science
Machine Learning
Big Data
Tableau
Tensorflow"
Data Scientist,Catalyst,Bengaluru,2-7 Yrs,"IT Skills
Machine Learning
Big Data
Data Science
NLP
Data Scientist
Machine learning
Predictive"
Lead Data Scientist - Python/ R/ SQL,e-Hireo Global Pvt Ltd,Bengaluru,3-8 Yrs,"Data Science
R
eCommerce
Data Scientist
Data Visualization
Data Analytics
Python
SQL"
Senior Data Scientist - CPG Sector,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Data Scientist
Data Management
Statistical Modeling
GLM / Mix Models
Data Modeling
Data Analytics
Statistics"
Data Scientist,Verifiedhires  ,Bengaluru,2-7 Yrs,"IT Skills
Python
Machine Learning
Big Data
Data Science
Predictive Modeling
R
NoSQL"
Associate Director - Data Operations,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Data management
data science
Business analytics
Architectural design
Customer support
High level design
Associate Director
big data"
Immediate opening For Data Scientist @Ahmedabad,Azine Technologies,Ahmedabad,2-4 Yrs,"IT Skills
Python
Tableau
Data Science
R
MongoDB
Deep Learning
Python"
Data Scientist/ Senior Data Scientist - CPG Domain,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,4-8 Yrs,"Data Science
Data Scientist
Statistical Modeling
Statistics
Analytics
SQL
Python"
Data Scientist - Algorithm/ Machine Learning,Ally -eXecutive HR Consulting Partner,Bengaluru,6-9 Yrs,"IT Skills
Python
Machine Learning
Cloud
Big Data
AWS
Tensorflow
Data Science"
Lead - Data Scientist,Catalyst,Bengaluru,6-11 Yrs,"IT Skills
Machine Learning
Big Data
Data Science
Data Scientist
Machine learning
Predictive
Time Series"
Lead Data Scientist,Catalyst,Bengaluru,2-4 Yrs,"IT Skills
Testing
Machine Learning
Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science"
Lead Data Scientist,Catalyst,Bengaluru,2-2 Yrs,"IT Skills
Testing
Machine Learning
Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science"
Manager - Data Scientist/python,Huquo Consulting Pvt. Ltd,Gurgaon,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Statistics
Python"
Platform Architect Big Data,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Telecom
Resource utilization
data science
Architectural design
Manager Technology
Vice President
Mentor
Deployment"
Data Analyst | Leading Company | Mumbai,Hindco Recruitment Consultants,"Mumbai Suburbs, Mumbai, Thane",2-7 Yrs,"python
data analysis
data management
oracle
c
sas
tableau consultant
data mining"
Lead - Data Scientist,Bion,Bengaluru,6-11 Yrs,"IT Skills
Machine Learning
Big Data
Data Science
Data Scientist
Machine learning
Predictive
Time Series"
Data Scientist,Bion,Bengaluru,2-7 Yrs,"IT Skills
Machine Learning
Big Data
Data Science
NLP
Data Scientist
Machine learning
Predictive"
Lead - Data Scientist,Bion,Bengaluru,6-10 Yrs,"IT Skills
Machine Learning
Big Data
Data Science
Data Scientist
Machine learning
Predictive
Time Series"
Lead - Data Scientist,Bion,Bengaluru,6-8 Yrs,"IT Skills
Machine Learning
Big Data
Data Science
Data Scientist
Machine learning
Predictive
Time Series"
Lead Data Scientist,Bion,Bengaluru,2-7 Yrs,"IT Skills
Testing
Machine Learning
Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science"
Backend Engineer - Data Warehousing/ Python/ ETL,Catalyst,Bengaluru,2-5 Yrs,"IT Skills
Python
Data Science
Data Science
NoSQL
Postgresql
Hadoop
MongoDB"
Data Scientist - Python/r,Catalyst,Bengaluru,2-6 Yrs,"IT Skills
Python
Testing
Data Science
R
Data Scientist
Data Management
product development"
Big Data Developer - Python/ Hadoop,Catalyst,Bengaluru,3-8 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Big Data
Data Science
Java"
Delivery Manager- Data/ Tech,UpGrad,Mumbai,4-9 Yrs,"Data Science
Team Management
Agile Project Management
Communication Skills
Training Needs
ownership
Artificial Intelligence
team handling"
Sr NLP & Text Mining Data Scientist,Valence Health,Pune,7-12 Yrs,"IT Skills
Java
Python
Cloud
Elastic Search
Big Data
AWS
Azure"
Director/senior Director Engineering - Big Data Technologies,Catalyst,Bengaluru,10-15 Yrs,"IT Skills
Java
Software Development
Data Science
Big Data
software development
java
data science"
Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,Hyderabad,4-8 Yrs,"IT Skills
Oracle
HTML
Tableau
Data Science
R
NLP
NoSQL"
Part time Academic Writer For Operations/ Supply Chain Management,Paperpedia private limited,"Delhi NCR(Sector-16 Noida), Mumbai, Bengaluru, Gurgaon, Noida, Hyderabad",0-5 Yrs,"operations management
economic order qs model
demand forecasting
logistics management
academic research
transportation
logistic mapping
data science"
Data Scientist/Bangalore,Cybernetic Management Professionals ,Bengaluru,3-7 Yrs,"Artificial Intelligence
deep data
Natural Language Processing
Neural Networks
Telematics Control Unit
Scikit Learn
random forest
decision scientist"
Lead Member Technical Staff - Data Intelligence,"salesforce.com, inc.",Hyderabad,8-10 Yrs,"Operational excellence
data science
Coding
Business analytics
Engineering Manager
Data processing
Data quality
Continuous improvement"
Data Scientist,Evalueserve,Gurgaon,3-8 Yrs,"Data Science
Artificial Intelligence
Natural Language Processing
Text Mining
Machine Learning
Python"
Senior Data Scientist,BCG,"Chennai, Delhi, Mumbai",1-2 Yrs,"Computer science
Analytical skills
advanced analytics
SDS
data science
Artificial Intelligence
Machine learning
Management consulting"
Data Scientist - DS & AI Ecosystem - Center Of Excellence,Market Scope,Hyderabad,8-10 Yrs,"IT Skills
Data Science
Data Science
Data Scientist
Artificial Intelligence
Data Management
AI
Data Analytics"
DATA Scientist,Optimum Business Solutions,Noida,4-7 Yrs,"IT Skills
Python
Data Science
Machine Learning
Manual Testing
Data Science
C
Text Analytics"
Data Scientist(Associate/Sr.Associate),HELLES TALENT SOLUTIONS PRIVATE LIMITED  ,Bengaluru,6-11 Yrs,"Data Science
Data Analytics
DATA SCIENTIST
Deep Learning
Python"
"Senior Advisor, Data Engineering",Varite,Hyderabad,4-8 Yrs,"IT Skills
Java
Data Science
.Net
spring boot
data science
spark
SCALA"
Machine Learning / Data Scientist: Hyderabad / Pune,TEZRA INDIA PRIVATE LIMITED  ,"Pune, Hyderabad",4-9 Yrs,"IT Skills
Python
Machine Learning
Data scientist
Machine Learning modeling
Data science
Machine Learning
Forecasting"
Data Scientist - Digital Marketing at Piramal Consumer Finance,PIRAMAL,Mumbai,2-6 Yrs,"Data Science
Business Intelligence
Analytics
Python"
"Data Analyst, Large Customers",Criteo,Gurgaon,2-6 Yrs,"IT Skills
Python
Data Science
Big Data
Tableau
SSP
Automation
Data analysis"
Tableau Data Analyst,iMerit Technology Services,Kolkata,3-5 Yrs,"IT Skills
Testing
Data Science
Tableau
Computer science
tableau
Publishing
Excel"
Hiring For Data Scientist 3-7 Years Experience,Hyper Thread Solutions Pvt. Ltd.,Hyderabad,3-7 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Tensorflow
Nltk
Data Science"
Hiring For DATA Analyst,6WRESEARCH & DATABASE SERVICES PRIVATE LIMITED,"Delhi NCR, Delhi",2-4 Yrs,"Data Science
Excel
Data Analysis
Data Visualization
SPSS
Market Analysis
Statistical Analysis
Competitive Analysis"
Intern,IBM India Pvt. Limited,Multiple,0-1 Yrs,"IT Skills
Java
Python
Machine Learning
Data Science
Java
Algorithms
Unit Testing"
Data Scientist - Machine Learning & Statistical Analysis - R/ Python,Talent Stock Solutions,Delhi,2-5 Yrs,"Data Science
R
C
Data Scientist
Statistical Analyst
Machine Learning
Algorithm
Python"
Data Analyst,Sripathi Paper and Boards,Coimbatore,1-5 Yrs,"Computer science
Data analysis
Operations research
data science
Analytical
Design development
Deployment
Data Analyst"
Data Analyst,Mindworksglobal,Delhi,1-2 Yrs,"Analytical skills
Training
Usage
Statistical analysis
data science
Machine learning
Natural language processing
Data Analyst"
Data Architecture Principles Application Designer,Accenture Solutions Pvt Ltd,Hyderabad,6-8 Yrs,"IT Skills
Python
Data Science
Machine Learning
AWS
Business process
Linux
data science"
Assistant Professor/ Associate Professor/Professor in computer science,VIT Bhopal University( a unit of VIT TRUST),Bhopal,0-5 Yrs,"Emerging Technologies
Computer Science
Data Science
Professor Activities
Lecturer Activities
Cloud Computing
Cyber Security
University"
Principal Data Scientist,GO-JEK,Bengaluru,6-12 Yrs,"Unix
Computer science
Simulation
data science
Machine learning
Research
Distribution system
Forecasting"
Senior Data Scientist,Bayer,Bengaluru,8-12 Yrs,"Data Science
Predictive Modeling
R
Genomics
operations research
AI
Genetics
Machine Learning"
Data Scientist,Bayer,Bengaluru,5-8 Yrs,"Data Science
Predictive Modeling
R
Genomics
operations research
AI
Genetics
Machine Learning"
"Trainer - Data Scientist/ AIML Engineer
",WEBI7 DIGITAL CONSULTANT LLP ,Bengaluru(Marathahalli),3-6 Yrs,"Pytorch
Tensorflow
Data Science
Rnn
NLP
Artificial Intelligence
Machine Learning
Deep Learning"
Senior Data Scientist- Computer Vision,Walmart Labs,Bengaluru,3-6 Yrs,"Training
Computer vision
deep learning
data science
Neural networks
Machine learning
Agile
Wellness"
Data Scientist,Kaplan Test Prep,Bengaluru,2-5 Yrs,"Text mining
SAS
data science
Analytical
Machine learning
Marketing operations
Data mining
Multivariate analysis"
Graduate Engineer Trainee,National Payments Corporation of India,"Chennai, Mumbai, Hyderabad",0-2 Yrs,"Data Science
Go Getter
Emerging Technologies
Open Source"
Graduate Engineer Trainee,National Payments Corporation of India,"Chennai, Mumbai, Hyderabad",0-2 Yrs,"Data Science
Go Getter
Emerging Technologies
Open Source"
Assistant Professor (Computer Science),GITAM University,"Bengaluru, Hyderabad, Visakhapatnam",0-5 Yrs,"University
Computer Science
Industry Research
Data Science
Faculty Development
Professor Activities
Artificial Intelligence
Phd"
Lead Data Scientist (Banking Operations),Snaphunt,Bengaluru,8-13 Yrs,"Data Science
Clearing
Financial Services
Banking Operations
Linux
Machine Learning
Statistical Analysis
Statistics"
Chief Data Scientist,NIIT Technologies,Bengaluru,8-13 Yrs,"Data Science
Java
R
Algorithms
SCALA
Problem Solving
Data Mining
Statistics"
Data Scientist Trainee,QuickXpert Infotech,"Navi Mumbai, Mumbai, Thane",0-5 Yrs,"IT Skills
Python
Data Science
python
oracle
Oracle Developer
ai
python developer"
Urgent requirement - Data Scientist / Senior Data Scientist - NIIT Ltd,NIIT Technologies,Bengaluru,3-8 Yrs,"Data Science
Java
R
Algorithms
SCALA
Problem Solving
Data Mining
Mathematics"
Senior Data Scientist,Boomerang Commerce,Bengaluru,2-4 Yrs,"Computer science
data science
Architecture
Hadoop
Programming
Data structures
E-commerce
Forecasting"
Delivery Head Data & Anlaytics,Live connections  ,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Noida",15-16 Yrs,"IT Skills
Data Science
Big Data
Data Science
Big Data Analytics
advance analytics"
Senior Data Scientist,GO-JEK,Bengaluru,3-7 Yrs,"Design engineering
data science
Machine learning
query
Data collection
Infrastructure
Product design
Monitoring"
Senior Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Big Data
Computer science
data science"
Senior Data Scientist - AI and Digital Lab,"Center for Study of Science, Technology and Policy",Bengaluru,5-10 Yrs,"Supply chain
Computer vision
GIT
data science
GCP
Machine learning
Healthcare
SQL"
Associate Data Scientist,Novotree Minds Consulting Pvt Limited,Bengaluru,2-5 Yrs,"Predictive Modeling
Logistic Regression
SAS
Artificial Intelligence
Machine Learning
Analytics
Data Science
Regression Analysis"
